keys,ko,en,ja,zh_CN,zh_TW
TITLE_NAME,달빛 봉화,MOONLIT BEACON,月明かりの烽火,月光烽火,月光烽火
TITLE_SUBTITLE,밤을 밝히는 마지막 불빛,OUTLAST THE NIGHT,夜を照らす最後の灯,照亮长夜的最后火光,照亮長夜的最後火光
TAP_TO_START,화면을 탭하여 시작,Tap to start,画面をタップして開始,点击屏幕开始,點擊畫面開始
HUD_BEACONS,봉화 %d/%d,Beacons %d/%d,烽火 %d/%d,烽火 %d/%d,烽火 %d/%d
HUD_BEACONS_INIT,봉화 0/3,Beacons 0/3,烽火 0/3,烽火 0/3,烽火 0/3
HUD_KILLS,처치 %d,Defeated %d,撃破 %d,击败 %d,擊敗 %d
HUD_KILLS_INIT,처치 0,Defeated 0,撃破 0,击败 0,擊敗 0
HUD_DASH,대시,Dash,ダッシュ,冲刺,衝刺
PAUSE_TITLE,잠시 멈춤,Paused,一時停止,已暂停,已暫停
PAUSE_RESUME,이어서,Resume,再開,继续,繼續
PAUSE_RESTART,처음부터,Restart,最初から,重新开始,重新開始
PAUSE_SETTINGS,설정,Settings,設定,设置,設定
PAUSE_TO_TITLE,타이틀로,To title,タイトルへ,回标题,回標題
RESULT_WIN,빛을 지켜 귀환했다,You returned with the light,光を守り帰還した,守住光明并成功归来,守住光明並成功歸來
RESULT_ESCAPE,빛을 품고 무사히 귀환했다,You returned safely with the light,光を抱いて無事に帰還した,带着光明平安归来,帶著光明平安歸來
RESULT_LOSE,어둠에 삼켜졌다,Swallowed by the dark,闇に呑まれた,被黑暗吞噬,被黑暗吞噬
RESULT_TAP,화면을 탭하여 다시 시작,Tap to play again,タップして再挑戦,点击再次挑战,點擊再次挑戰
RESULT_BEST_NEW,신기록!,New best!,新記録！,新纪录！,新紀錄！
RESULT_BEST,최고 %d (%s),Best %d (%s),最高 %d (%s),最高 %d（%s）,最高 %d（%s）
RESULT_SHARD_BALANCE,이번 판 +%d · 보유 %d조각,Run +%d · %d shards held,今回 +%d · 所持 %d個,本局 +%d · 持有 %d枚,本局 +%d · 持有 %d枚
RESULT_GOAL_COMPLETE,제단의 모든 축복을 완성했습니다,Shrine collection complete,祭壇の加護をすべて最大まで強化しました,祭坛祝福已全部完成,祭壇祝福已全部完成
RESULT_GOAL_READY,%s 구매 가능 · 제단에서 강화하세요,%s is ready · upgrade at the Shrine,%s 購入可能 · 祭壇で強化しよう,%s 可购买 · 前往祭坛强化,%s 可購買 · 前往祭壇強化
RESULT_GOAL_PROGRESS,%s · 앞으로 %d조각,%s · %d shards to go,%s · あと%d個,%s · 还需%d枚碎片,%s · 還需%d枚碎片
RESULT_RETRY,다시 출전,Retry,再挑戦,再次出战,再次出戰
RESULT_SHRINE,제단 강화,Upgrade,祭壇で強化,祭坛强化,祭壇強化
RESULT_RECORD,기록 남기기,Record,記録を残す,留下记录,留下紀錄
SCORE_BEACONS,봉화 %d,Beacons %d,烽火 %d,烽火 %d,烽火 %d
SCORE_TIME,살아남은 시간 %d초,Survived %ds,生存時間 %d秒,存活时间 %d秒,存活時間 %d秒
SCORE_KILLS,흩은 정령,Spirits scattered,退けた精霊,驱散精灵,驅散精靈
SCORE_TOTAL,합계,Total,合計,总计,總計
SETTINGS_TITLE,설정,Settings,設定,设置,設定
SETTINGS_LANGUAGE,언어,Language,言語,语言,語言
SETTINGS_MUSIC,음악,Music,音楽,音乐,音樂
SETTINGS_SFX,효과음,Sound,効果音,音效,音效
SETTINGS_CREDITS,크레딧,Credits,クレジット,制作名单,製作名單
