"record_type","platform","locale","product_id","product_type","reference_name","display_name","short_description","subtitle","promotional_text","keywords","description","review_notes"
"app","google","en-US","","","","Moonlit Beacon","Power up with relics, light three beacons, and face a changing Guardian","","","","",""
"app","google","ko-KR","","","","달빛 봉화","유물을 모아 무기를 키우고 봉화 셋을 밝혀 변화하는 수호자에 맞서세요","","","","",""
"app","google","ja-JP","","","","月明かりの烽火","遺物で武器を育て、三つの烽火を灯し、変化する守護者に挑もう","","","","",""
"app","google","zh-CN","","","","月光烽火","收集遗物强化武器，点燃三座烽火，迎战不断变化的守护者","","","","",""
"app","google","zh-TW","","","","月光烽火","收集遺物強化武器，點燃三座烽火，迎戰不斷變化的守護者","","","","",""
"app","apple","en-US","","","","Moonlit Beacon","","Relic-powered survival","Build three weapons with embers and relics, cross shifting regions, light three beacons, and challenge a different Guardian each cycle.","survival,roguelite,pixel,action,beacon,guardian,offline","",""
"app","apple","ko","","","","달빛 봉화","","봉화를 밝히는 무한 생존 액션","불씨와 유물로 무기를 단계별 강화하고, 세 지형의 봉화를 오가며 서로 다른 수호자와 끝없는 순환에 도전하세요.","서바이벌,로그라이트,픽셀,액션,봉화,수호자,오프라인","",""
"app","apple","ja","","","","月明かりの烽火","","烽火を灯すエンドレスサバイバル","火種と遺物で武器を段階的に強化し、三つの地域を巡って烽火を灯し、巡回ごとに異なる守護者へ挑もう。","サバイバル,ローグライト,ドット,アクション,烽火,オフライン","",""
"app","apple","zh-Hans","","","","月光烽火","","点燃烽火的无尽生存动作","用火种与遗物逐步强化武器，穿越三片变化的区域，点燃三座烽火，并在每轮挑战不同的守护者。","生存,类幸存者,像素,动作,烽火,守护者,离线","",""
"app","apple","zh-Hant","","","","月光烽火","","點燃烽火的無盡生存動作","用火種與遺物逐步強化武器，穿越三片變化的區域，點燃三座烽火，並在每輪挑戰不同的守護者。","生存,類倖存者,像素,動作,烽火,守護者,離線","",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","Moonlit Supporter","","","","","Permanent supporter mark beside your name.",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Hero Shadow Dancer","Shadow Dancer","","","","","Balanced style with purple twin arcs.",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Hero Beacon Keeper","Beacon Keeper","","","","","Balanced style with jade lantern ripples.",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Hero Silver Moon Knight","Silver Moon Knight","","","","","Balanced style with silver crescent fans.",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Hero Eclipse Mage","Eclipse Mage","","","","","Balanced style with crimson eclipse rings.",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Hero Constellation Sage","Constellation Sage","","","","","Balanced style with teal star chains.",""
"iap","google","en-US","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","Lantern Colors","","","","","Choose four beacon colors. No combat boost.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","달빛 후원자","","","","","크레딧 이름 옆에 후원자 표식을 영구히 남깁니다.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Hero Shadow Dancer","그림자 무희","","","","","보랏빛 쌍월호 연출의 균형형 영웅입니다.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Hero Beacon Keeper","봉화지기","","","","","비취 등불 파문 연출의 균형형 영웅입니다.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Hero Silver Moon Knight","백월 기사","","","","","은빛 초승달 부채 연출의 균형형 영웅입니다.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Hero Eclipse Mage","월식 마도사","","","","","진홍 월식 고리 연출의 균형형 영웅입니다.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Hero Constellation Sage","성좌 현자","","","","","청록 성좌 사슬 연출의 균형형 영웅입니다.",""
"iap","google","ko-KR","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","봉화 색상 꾸러미","","","","","봉화 불빛 4색을 선택합니다. 전투 성능은 그대로입니다.",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","月明かりの支援者","","","","","クレジットの名前に支援者印を永久表示します。",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Hero Shadow Dancer","影の舞姫","","","","","紫の双月弧を描く、性能均衡型の英雄です。",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Hero Beacon Keeper","烽火の守り人","","","","","翡翠の灯火波紋を描く、性能均衡型の英雄です。",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Hero Silver Moon Knight","白月の騎士","","","","","銀の三日月扇を描く、性能均衡型の英雄です。",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Hero Eclipse Mage","月蝕の魔導士","","","","","深紅の月蝕輪を描く、性能均衡型の英雄です。",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Hero Constellation Sage","星座の賢者","","","","","青緑の星座連鎖を描く、性能均衡型の英雄です。",""
"iap","google","ja-JP","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","烽火カラーパック","","","","","烽火の炎を4色から選択。戦闘性能は変わりません。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","月光支持者","","","","","在制作名单的名字旁永久显示支持者标记。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Hero Shadow Dancer","暗影舞者","","","","","平衡型英雄，释放紫色双月弧与螺旋月光。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Hero Beacon Keeper","烽火守护者","","","","","平衡型英雄，释放翡翠灯火波纹与金色冲击。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Hero Silver Moon Knight","白月骑士","","","","","平衡型英雄，释放银色新月扇与白色星屑。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Hero Eclipse Mage","月蚀法师","","","","","平衡型英雄，释放深红月蚀环与黑红余烬。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Hero Constellation Sage","星座贤者","","","","","平衡型英雄，释放青绿星链与金色星座。",""
"iap","google","zh-CN","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","烽火颜色包","","","","","从4种烽火颜色中选择，不提升战斗能力。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","月光贊助者","","","","","在製作名單的名字旁永久顯示贊助者標記。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Hero Shadow Dancer","暗影舞者","","","","","平衡型英雄，釋放紫色雙月弧與螺旋月光。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Hero Beacon Keeper","烽火守護者","","","","","平衡型英雄，釋放翡翠燈火波紋與金色衝擊。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Hero Silver Moon Knight","白月騎士","","","","","平衡型英雄，釋放銀色新月扇與白色星屑。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Hero Eclipse Mage","月蝕法師","","","","","平衡型英雄，釋放深紅月蝕環與黑紅餘燼。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Hero Constellation Sage","星座賢者","","","","","平衡型英雄，釋放青綠星鏈與金色星座。",""
"iap","google","zh-TW","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","烽火顏色包","","","","","從4種烽火顏色中選擇，不提升戰鬥能力。",""
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","Moonlit Supporter","","","","","Permanent supporter mark beside your name.","Launch the app and open Store > Moonlit Supporter. This non-consumable permanently adds the current local high-score name and a supporter mark in Settings > Credits. If no name exists the app shows Nameless. It does not change combat. Use Restore purchases at the bottom of the Store to restore it."
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Shadow Dancer","Shadow Dancer","","","","","Balanced style with purple twin arcs.","Launch the app, open Store, swipe to Shadow Dancer, and tap its portrait to preview. This non-consumable permanently unlocks the hero in Moon Shrine. It is a balanced sidegrade. Its price reflects character art and purple twin-arc effects, not a combat power tier. The free Moonlit Warden can complete the entire game. Use Restore purchases after reinstall."
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Beacon Keeper","Beacon Keeper","","","","","Balanced style with jade lantern ripples.","Launch the app, open Store, swipe to Beacon Keeper, and tap its portrait to preview. This non-consumable permanently unlocks the hero in Moon Shrine. It is a balanced sidegrade. Its price reflects character art and jade lantern-ripple effects, not a combat power tier. The free Moonlit Warden can complete the entire game. Use Restore purchases after reinstall."
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Silver Moon Knight","Silver Moon Knight","","","","","Balanced style with silver crescent fans.","Launch the app, open Store, swipe to Silver Moon Knight, and tap its portrait to preview. This non-consumable permanently unlocks the hero in Moon Shrine. It is a balanced sidegrade. Its price reflects character art and silver crescent-fan effects, not a combat power tier. The free Moonlit Warden can complete the entire game. Use Restore purchases after reinstall."
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Eclipse Mage","Eclipse Mage","","","","","Balanced style with crimson eclipse rings.","Launch the app, open Store, swipe to Eclipse Mage, and tap its portrait to preview. This non-consumable permanently unlocks the hero in Moon Shrine. It is a balanced sidegrade. Its price reflects character art and crimson eclipse-ring effects, not a combat power tier. The free Moonlit Warden can complete the entire game. Use Restore purchases after reinstall."
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Constellation Sage","Constellation Sage","","","","","Balanced style with teal star chains.","Launch the app, open Store, swipe to Constellation Sage, and tap its portrait to preview. This non-consumable permanently unlocks the hero in Moon Shrine. It is a balanced sidegrade. Its price reflects character art and teal constellation-chain effects, not a combat power tier. The free Moonlit Warden can complete the entire game. Use Restore purchases after reinstall."
"iap","apple","en-US","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","Lantern Colors","","","","","Choose four beacon colors. No combat boost.","Launch the app and open Store > Lantern Colors. This non-consumable unlocks Moon, Violet, and Jade in addition to the default Ember color. Select a color in the same Store panel. It is cosmetic and does not change damage, range, detection, or health. Use Restore purchases at the bottom of the Store to restore it."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","달빛 후원자","","","","","크레딧 이름 옆에 후원자 표식을 영구히 남깁니다.","앱 실행 후 타이틀의 상점 > 달빛 후원자를 누릅니다. 비소모성 구매이며 설정 > 크레딧에 현재 로컬 순위표 이름과 후원자 표식을 영구히 추가합니다. 이름이 없으면 이름없음으로 표시됩니다. 전투 수치는 바뀌지 않습니다. 상점 하단의 구매 복원으로 복원할 수 있습니다."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Shadow Dancer","그림자 무희","","","","","보랏빛 쌍월호 연출의 균형형 영웅입니다.","앱을 실행해 상점을 열고 그림자 무희까지 밀어 초상화를 누르면 미리 볼 수 있습니다. 비소모성 구매로 달빛 제단에서 이 영웅을 영구 해금합니다. 영웅은 균형형 대안이며 가격 차이는 캐릭터 아트와 보랏빛 쌍월호 연출 차이일 뿐 전투력 등급이 아닙니다. 무료 달빛 파수꾼으로 전체 게임을 완료할 수 있습니다. 재설치 후 구매 복원으로 되찾을 수 있습니다."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.hero_keeper","non_consumable","Beacon Keeper","봉화지기","","","","","비취 등불 파문 연출의 균형형 영웅입니다.","앱을 실행해 상점을 열고 봉화지기까지 밀어 초상화를 누르면 미리 볼 수 있습니다. 비소모성 구매로 달빛 제단에서 이 영웅을 영구 해금합니다. 영웅은 균형형 대안이며 가격 차이는 캐릭터 아트와 비취 등불 파문 연출 차이일 뿐 전투력 등급이 아닙니다. 무료 달빛 파수꾼으로 전체 게임을 완료할 수 있습니다. 재설치 후 구매 복원으로 되찾을 수 있습니다."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.hero_knight","non_consumable","Silver Moon Knight","백월 기사","","","","","은빛 초승달 부채 연출의 균형형 영웅입니다.","앱을 실행해 상점을 열고 백월 기사까지 밀어 초상화를 누르면 미리 볼 수 있습니다. 비소모성 구매로 달빛 제단에서 이 영웅을 영구 해금합니다. 영웅은 균형형 대안이며 가격 차이는 캐릭터 아트와 은빛 초승달 부채 연출 차이일 뿐 전투력 등급이 아닙니다. 무료 달빛 파수꾼으로 전체 게임을 완료할 수 있습니다. 재설치 후 구매 복원으로 되찾을 수 있습니다."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.hero_eclipse","non_consumable","Eclipse Mage","월식 마도사","","","","","진홍 월식 고리 연출의 균형형 영웅입니다.","앱을 실행해 상점을 열고 월식 마도사까지 밀어 초상화를 누르면 미리 볼 수 있습니다. 비소모성 구매로 달빛 제단에서 이 영웅을 영구 해금합니다. 영웅은 균형형 대안이며 가격 차이는 캐릭터 아트와 진홍 월식 고리 연출 차이일 뿐 전투력 등급이 아닙니다. 무료 달빛 파수꾼으로 전체 게임을 완료할 수 있습니다. 재설치 후 구매 복원으로 되찾을 수 있습니다."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.hero_sage","non_consumable","Constellation Sage","성좌 현자","","","","","청록 성좌 사슬 연출의 균형형 영웅입니다.","앱을 실행해 상점을 열고 성좌 현자까지 밀어 초상화를 누르면 미리 볼 수 있습니다. 비소모성 구매로 달빛 제단에서 이 영웅을 영구 해금합니다. 영웅은 균형형 대안이며 가격 차이는 캐릭터 아트와 청록 성좌 사슬 연출 차이일 뿐 전투력 등급이 아닙니다. 무료 달빛 파수꾼으로 전체 게임을 완료할 수 있습니다. 재설치 후 구매 복원으로 되찾을 수 있습니다."
"iap","apple","ko","com.crossplatformkorea.moonlitbeacon.lantern_colors","non_consumable","Lantern Colors","봉화 색상 꾸러미","","","","","봉화 불빛 4색을 선택합니다. 전투 성능은 그대로입니다.","앱 실행 후 타이틀의 상점 > 봉화 색상 꾸러미를 누릅니다. 비소모성 구매이며 기본 불씨에 달빛·보랏빛·비취빛을 추가합니다. 같은 상점 화면에서 색을 장착합니다. 꾸미기 전용이며 피해·범위·감지·체력에 영향을 주지 않습니다. 상점 하단의 구매 복원으로 복원할 수 있습니다."
"iap","apple","ja","com.crossplatformkorea.moonlitbeacon.supporter","non_consumable","Moonlit Supporter","月明かりの支援者","","","","","クレジットの名前に支援者印を永久表示します。","アプリを起動し、タイトル画面で「ストア」>「月明かりの支援者」を開きます。買い切りの非消耗型商品で、設定 > クレジットに現在のローカルランキング名と支援者印を永久表示します。名前がない場合は「名無し」と表示されます。戦闘性能は変わりません。ストア下部の「購入を復元」から復元できます。"
"iap","apple","ja","com.crossplatformkorea.moonlitbeacon.hero_dancer","non_consumable","Shadow Dancer","影の舞姫","","","","","紫の双月弧を描く、性能均衡型の英雄です。","アプリでストアを開き、影の舞姫までスワイプして肖像をタップするとプレビューできます。買い切りの非消耗型商品で、月光の祭壇にこの英雄を永久解放します。英雄は性能均衡型の別スタイルで、価格差はキャラクターアートと紫の双月弧演出によるもので、強さの段階ではありません。無料の月光の番人だけで全内容を遊べます。再インストール後は「購入を復元」で復元できます。"
